Dataset,Model,Accuracy,Precision,Recall,F1
Wine,Decision Tree,0.905 ± 0.045,0.912 ± 0.042,0.905 ± 0.046,0.905 ± 0.045
Wine,Random Forest,0.986 ± 0.014,0.986 ± 0.015,0.988 ± 0.013,0.986 ± 0.014
Wine,SVM-RBF,0.985 ± 0.015,0.986 ± 0.014,0.984 ± 0.016,0.985 ± 0.015
Wine,KNN,0.963 ± 0.022,0.964 ± 0.021,0.968 ± 0.019,0.964 ± 0.021
Wine,SASKC,0.961 ± 0.021,0.962 ± 0.020,0.966 ± 0.018,0.962 ± 0.021
Iris,Decision Tree,0.942 ± 0.031,0.945 ± 0.030,0.942 ± 0.031,0.942 ± 0.031
Iris,Random Forest,0.951 ± 0.029,0.953 ± 0.028,0.951 ± 0.029,0.951 ± 0.029
Iris,SVM-RBF,0.962 ± 0.024,0.964 ± 0.023,0.962 ± 0.024,0.962 ± 0.024
Iris,KNN,0.951 ± 0.029,0.954 ± 0.028,0.951 ± 0.029,0.951 ± 0.029
Iris,SASKC,0.945 ± 0.029,0.948 ± 0.029,0.945 ± 0.029,0.945 ± 0.029
Breast Cancer,Decision Tree,0.928 ± 0.019,0.923 ± 0.021,0.925 ± 0.021,0.923 ± 0.020
Breast Cancer,Random Forest,0.962 ± 0.014,0.962 ± 0.015,0.959 ± 0.017,0.960 ± 0.016
Breast Cancer,SVM-RBF,0.974 ± 0.011,0.974 ± 0.012,0.971 ± 0.013,0.973 ± 0.012
Breast Cancer,KNN,0.965 ± 0.013,0.968 ± 0.012,0.958 ± 0.017,0.963 ± 0.015
Breast Cancer,SASKC,0.963 ± 0.013,0.964 ± 0.012,0.956 ± 0.016,0.960 ± 0.014
