dataset,model,data_variant,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Breast Cancer,Decision Tree,clean,0.9280701754385965,0.0193776480795309,0.9234431375017549,0.021125243878537456,0.9247532126168224,0.020693684722391102,0.9234201879117991,0.020539973134165824
Breast Cancer,Gaussian NB,clean,0.9337426900584795,0.017515384377196002,0.9325398797640528,0.019310601326032757,0.926397488317757,0.019451979087948063,0.9288077140855777,0.018810876372963154
Breast Cancer,KNN,clean,0.9653801169590643,0.013316721139790101,0.9684968053670757,0.011958647474459058,0.9579884637850468,0.016993144766402696,0.9625605043394575,0.014631482113142968
Breast Cancer,Logistic Regression,clean,0.9798830409356725,0.010224673680934463,0.9808777919421067,0.010144945647958148,0.9764215829439251,0.012386005266338478,0.9784022652613007,0.011035246063731208
Breast Cancer,Random Forest,clean,0.9623976608187134,0.014498402493359949,0.961556964515556,0.015320918726973637,0.9585251168224299,0.016605289259816722,0.9597165586381062,0.015599996263812772
Breast Cancer,SASKC,clean,0.9626900584795322,0.012735964483361383,0.9643797437481747,0.012256482577847517,0.9562156834112149,0.015875108084543114,0.9597764096718544,0.013886377032187288
Breast Cancer,SVM-RBF,clean,0.9743859649122807,0.011540703358931776,0.974225006643427,0.012115773474172134,0.9713069509345794,0.013270417141833366,0.9725617517790808,0.01239294584445003
Iris,Decision Tree,clean,0.9422222222222223,0.03126784314139771,0.9454440595810566,0.02993660348771163,0.9422222222222223,0.03126784314139774,0.9419884979407352,0.03150470463726776
Iris,Gaussian NB,clean,0.9544444444444444,0.026870712057547135,0.9566260126182727,0.02631824267683198,0.9544444444444444,0.02687071205754717,0.9543363038219169,0.026952421676181466
Iris,KNN,clean,0.9508888888888889,0.029170688087901468,0.9538596755841339,0.027715799890525705,0.9508888888888889,0.029170688087901485,0.9508266791450258,0.029121357054093522
Iris,Logistic Regression,clean,0.9571111111111111,0.022832255347968722,0.9590679630826691,0.022410348602326144,0.9571111111111111,0.02283225534796876,0.9570250315539526,0.022889976903273296
Iris,Random Forest,clean,0.9508888888888889,0.029510704093037857,0.9532710843221679,0.02854014257694352,0.9508888888888889,0.029510704093037896,0.9507463501331498,0.02964286868896547
Iris,SASKC,clean,0.945111111111111,0.02953773628886375,0.9477499412495543,0.0286926513511699,0.945111111111111,0.02953773628886376,0.9450372813520564,0.029564153530508352
Iris,SVM-RBF,clean,0.9620000000000001,0.02411573706444333,0.9638077820871939,0.023467588572387687,0.9620000000000001,0.024115737064443376,0.961994857668801,0.024077877884533354
Wine,Decision Tree,clean,0.9046296296296297,0.04477485054595664,0.9116527841679499,0.04221350019533632,0.9052222222222223,0.046432929691337194,0.9054552706196831,0.045099362014841514
Wine,Gaussian NB,clean,0.975925925925926,0.01775453649781862,0.9769889588246365,0.017348275890376016,0.977846560846561,0.01635812171228144,0.9766967383141967,0.017231440228256116
Wine,KNN,clean,0.9631481481481481,0.021942212684915825,0.9643005273879887,0.020808796328248568,0.9677142857142857,0.019079952248399167,0.9641997914157869,0.021606238745915655
Wine,KNN,noisy,0.9605555555555556,0.02228060046136511,0.961793664754578,0.02127150730082919,0.9654920634920634,0.019337513926017416,0.9616129031057632,0.02210127950375714
Wine,Logistic Regression,clean,0.9796296296296296,0.016956167148976586,0.9801153737342659,0.016536050657338857,0.9804126984126984,0.016376836637571023,0.9797241106698634,0.016720742949567702
Wine,Random Forest,clean,0.9861111111111112,0.01450647132964149,0.9859458171313737,0.014583479764900806,0.9878835978835978,0.01284069100030894,0.9864671848049968,0.014187572631688914
Wine,Random Forest,noisy,0.9838888888888888,0.015935667245867213,0.9840001029871301,0.015722933940078076,0.9856719576719577,0.014388311641849958,0.9843154002816196,0.015597230065800572
Wine,SASKC,clean,0.960925925925926,0.02152784063243825,0.9621428705453474,0.020331611537974956,0.9664444444444444,0.018512360688552238,0.9621880229842645,0.021098019975662474
Wine,SASKC,noisy,0.9620370370370369,0.021118460794257794,0.9630185401114193,0.020090935132003045,0.9672698412698414,0.018349090953111043,0.963212194491282,0.020782994327468232
Wine,SVM-RBF,clean,0.9846296296296296,0.015360101411012373,0.985917803814543,0.0144857056624245,0.9838095238095238,0.016208836016788294,0.9845011766014078,0.015441249023951584
