run,model,data_variant,accuracy,precision,recall,f1
0,LogisticRegression,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
0,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
0,KNN,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
0,GaussianNB,clean,1.0,1.0,1.0,1.0
0,DecisionTree,clean,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511122
0,RandomForest,clean,1.0,1.0,1.0,1.0
0,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
1,LogisticRegression,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
1,SVC,clean,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
1,KNN,clean,0.9074074074074074,0.9131652661064426,0.9206349206349206,0.908480595980596
1,GaussianNB,clean,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
1,DecisionTree,clean,0.8703703703703703,0.8761904761904762,0.8735449735449735,0.8735189529753736
1,RandomForest,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
1,SASKC,clean,0.9259259259259259,0.9274509803921568,0.9365079365079364,0.9265350877192983
2,LogisticRegression,clean,0.9629629629629629,0.9619047619047619,0.9619047619047619,0.9619047619047619
2,SVC,clean,1.0,1.0,1.0,1.0
2,KNN,clean,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625
2,GaussianNB,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
2,DecisionTree,clean,0.9074074074074074,0.9358974358974358,0.9037037037037038,0.9113780875519687
2,RandomForest,clean,1.0,1.0,1.0,1.0
2,SASKC,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
3,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
3,SVC,clean,1.0,1.0,1.0,1.0
3,KNN,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
3,GaussianNB,clean,1.0,1.0,1.0,1.0
3,DecisionTree,clean,0.8888888888888888,0.897065897065897,0.8920634920634921,0.8894488653109343
3,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
3,SASKC,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
4,LogisticRegression,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
4,SVC,clean,1.0,1.0,1.0,1.0
4,KNN,clean,0.9074074074074074,0.9131652661064426,0.9206349206349206,0.908480595980596
4,GaussianNB,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
4,DecisionTree,clean,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
4,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
4,SASKC,clean,0.9259259259259259,0.9315476190476191,0.9365079365079364,0.9285185668886857
5,LogisticRegression,clean,1.0,1.0,1.0,1.0
5,SVC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
5,KNN,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
5,GaussianNB,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
5,DecisionTree,clean,0.9074074074074074,0.9093567251461989,0.9052910052910054,0.9067441826062517
5,RandomForest,clean,1.0,1.0,1.0,1.0
5,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
6,LogisticRegression,clean,0.9629629629629629,0.9665831244778613,0.9619047619047619,0.963623722244412
6,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
6,KNN,clean,0.9444444444444444,0.9500000000000001,0.9460317460317459,0.9465716435748749
6,GaussianNB,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
6,DecisionTree,clean,0.9444444444444444,0.9482456140350877,0.9497354497354498,0.9485827290705341
6,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
6,SASKC,clean,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488
7,LogisticRegression,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
7,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
7,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
7,GaussianNB,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
7,DecisionTree,clean,0.9074074074074074,0.9095238095238095,0.9079365079365079,0.9073229752261224
7,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
7,SASKC,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
8,LogisticRegression,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
8,SVC,clean,1.0,1.0,1.0,1.0
8,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
8,GaussianNB,clean,1.0,1.0,1.0,1.0
8,DecisionTree,clean,0.9444444444444444,0.9511784511784511,0.9433862433862433,0.94673141465443
8,RandomForest,clean,1.0,1.0,1.0,1.0
8,SASKC,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
9,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
9,SVC,clean,1.0,1.0,1.0,1.0
9,KNN,clean,1.0,1.0,1.0,1.0
9,GaussianNB,clean,1.0,1.0,1.0,1.0
9,DecisionTree,clean,0.9074074074074074,0.9038011695906433,0.9052910052910054,0.9041382846260895
9,RandomForest,clean,1.0,1.0,1.0,1.0
9,SASKC,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
10,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
10,SVC,clean,1.0,1.0,1.0,1.0
10,KNN,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
10,GaussianNB,clean,1.0,1.0,1.0,1.0
10,DecisionTree,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
10,RandomForest,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
10,SASKC,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
11,LogisticRegression,clean,1.0,1.0,1.0,1.0
11,SVC,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
11,KNN,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
11,GaussianNB,clean,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
11,DecisionTree,clean,0.9074074074074074,0.9236111111111112,0.9100529100529101,0.9105436081242533
11,RandomForest,clean,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
11,SASKC,clean,1.0,1.0,1.0,1.0
12,LogisticRegression,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
12,SVC,clean,1.0,1.0,1.0,1.0
12,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
12,GaussianNB,clean,1.0,1.0,1.0,1.0
12,DecisionTree,clean,0.8888888888888888,0.9043062200956937,0.8920634920634921,0.8928571428571429
12,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
12,SASKC,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
13,LogisticRegression,clean,1.0,1.0,1.0,1.0
13,SVC,clean,0.9629629629629629,0.9619047619047619,0.9619047619047619,0.9619047619047619
13,KNN,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
13,GaussianNB,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
13,DecisionTree,clean,0.9074074074074074,0.9111111111111111,0.9206349206349206,0.9071080650028018
13,RandomForest,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
13,SASKC,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
14,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
14,SVC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
14,KNN,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
14,GaussianNB,clean,0.9444444444444444,0.9488636363636364,0.947089947089947,0.9463836547372138
14,DecisionTree,clean,0.9444444444444444,0.9474747474747476,0.9433862433862433,0.94499815430048
14,RandomForest,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
14,SASKC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
15,LogisticRegression,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
15,SVC,clean,1.0,1.0,1.0,1.0
15,KNN,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
15,GaussianNB,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
15,DecisionTree,clean,0.8333333333333334,0.8354803091645198,0.8317460317460318,0.8285714285714286
15,RandomForest,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
15,SASKC,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
16,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
16,SVC,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
16,KNN,clean,0.9259259259259259,0.9269005847953217,0.9365079365079364,0.9256002413897151
16,GaussianNB,clean,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
16,DecisionTree,clean,0.8703703703703703,0.8992673992673993,0.8656084656084656,0.8742051846417217
16,RandomForest,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
16,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
17,LogisticRegression,clean,1.0,1.0,1.0,1.0
17,SVC,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
17,KNN,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
17,GaussianNB,clean,0.9629629629629629,0.9710144927536232,0.9629629629629629,0.9652406417112299
17,DecisionTree,clean,0.9259259259259259,0.9275132275132275,0.9275132275132275,0.9275132275132275
17,RandomForest,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
17,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
18,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
18,SVC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
18,KNN,clean,1.0,1.0,1.0,1.0
18,GaussianNB,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
18,DecisionTree,clean,0.8703703703703703,0.8773148148148149,0.8862433862433862,0.8707993707993708
18,RandomForest,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
18,SASKC,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
19,LogisticRegression,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
19,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
19,KNN,clean,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488
19,GaussianNB,clean,1.0,1.0,1.0,1.0
19,DecisionTree,clean,0.9074074074074074,0.9218500797448166,0.9079365079365079,0.9095238095238095
19,RandomForest,clean,1.0,1.0,1.0,1.0
19,SASKC,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
20,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
20,SVC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
20,KNN,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
20,GaussianNB,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
20,DecisionTree,clean,0.9444444444444444,0.9432404540763674,0.9523809523809524,0.944516632016632
20,RandomForest,clean,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625
20,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
21,LogisticRegression,clean,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
21,SVC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
21,KNN,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
21,GaussianNB,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
21,DecisionTree,clean,0.9629629629629629,0.9619047619047619,0.9619047619047619,0.9619047619047619
21,RandomForest,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
21,SASKC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
22,LogisticRegression,clean,0.9259259259259259,0.9269005847953217,0.9301587301587301,0.9269005847953217
22,SVC,clean,0.9629629629629629,0.9619047619047619,0.9619047619047619,0.9619047619047619
